Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,1315,87,6.62,70,80.46,17,1,350,123,7,84,4,6,146,169,98.83,2,1.17
2006-07-02,1204,86,7.14,68,79.07,18,2,377,148,3,81,7,5,157,149,95.51,7,4.49
2006-07-03,1234,98,7.94,77,78.57,21,1,359,137,3,73,3,7,166,161,95.83,7,4.17
2006-07-04,1118,65,5.81,47,72.31,18,1,383,125,1,82,43,3,179,172,96.63,6,3.37
2006-07-05,1240,79,6.37,62,78.48,17,1,341,126,8,82,1,3,162,190,96.94,6,3.06
2006-07-06,1317,88,6.68,75,85.23,13,1,361,135,2,61,2,2,185,184,95.34,9,4.66
2006-07-07,1021,69,6.76,57,82.61,12,,386,132,2,77,5,3,218,191,97.45,5,2.55
2006-07-08,1420,94,6.62,80,85.11,14,1,425,140,4,77,5,9,213,190,95,10,5
2006-07-09,1246,79,6.34,65,82.28,14,,406,150,3,82,4,2,187,165,94.29,10,5.71
2006-07-10,1172,83,7.08,68,81.93,15,3,399,146,2,80,4,5,180,183,97.34,5,2.66
2006-07-11,1127,88,7.81,80,90.91,8,3,389,133,3,72,5,5,222,222,96.94,7,3.06
2006-07-12,1274,88,6.91,73,82.95,15,2,379,144,6,71,36,5,179,185,98.4,3,1.6
2006-07-13,1251,81,6.47,69,85.19,12,1,391,131,4,65,2,2,211,217,94.76,12,5.24
2006-07-14,1047,70,6.69,57,81.43,13,1,345,125,43,70,4,4,208,238,96.36,9,3.64
2006-07-15,1329,108,8.13,87,80.56,21,1,415,145,4,70,2,5,183,184,96.84,6,3.16
2006-07-16,1076,71,6.6,59,83.1,12,,56,27,2,8,1,3,28,14,66.67,7,33.33
2006-07-17,1070,52,4.86,40,76.92,12,,364,142,2,75,37,2,196,192,97.96,4,2.04
2006-07-18,1153,67,5.81,49,73.13,18,1,394,116,2,91,2,2,220,207,95.39,10,4.61
2006-07-19,1137,66,5.8,55,83.33,11,2,399,138,3,69,2,2,206,203,95.75,9,4.25
2006-07-20,1327,90,6.78,81,90,9,1,390,150,3,81,10,4,243,257,98.09,5,1.91
2006-07-21,1270,76,5.98,64,84.21,12,,427,144,5,69,4,5,221,205,96.7,7,3.3
2006-07-22,1019,67,6.58,50,74.63,17,4,410,145,2,93,3,2,213,222,96.1,9,3.9
2006-07-23,1294,89,6.88,75,84.27,14,1,441,147,3,96,7,4,239,216,96.86,7,3.14
2006-07-24,1260,82,6.51,64,78.05,18,,375,126,1,79,4,2,224,211,99.06,2,0.94
2006-07-25,1217,80,6.57,69,86.25,11,1,398,163,2,78,4,4,245,239,97.55,6,2.45
2006-07-26,1125,97,8.62,72,74.23,25,3,394,146,4,87,2,3,213,197,95.63,9,4.37
2006-07-27,1293,78,6.03,68,87.18,10,3,351,151,1,79,6,4,195,226,97.84,5,2.16
2006-07-28,1262,96,7.61,78,81.25,18,2,377,153,2,71,2,3,197,228,93.44,16,6.56
2006-07-29,1176,69,5.87,50,72.46,19,1,381,139,1,87,3,6,168,190,97.44,5,2.56
2006-07-30,1253,96,7.66,79,82.29,17,1,418,140,2,87,5,2,196,193,96.02,8,3.98
2006-07-31,1271,76,5.98,67,88.16,9,2,355,154,4,85,2,4,192,206,95.81,9,4.19
